Taluks,Population 2011_Rural_male,Population 2011_Rural_female,Population 2011_Rural_total,Population 2011_urban_male,Population 2011_urban_female,Population 2011_urban_total,Population 2011_Rural_urban_total,Population 2011_Decadal Change in percentage_2001 - 11Rural,Population 2011_Decadal Change in percentage_2001 - 11_urban,Population 2011_Decadal Change in percentage_2001 - 11_total
Chikkodi,158544.0,151513.0,310057.0,23075.0,23012.0,46087.0,356144.0,28.09,16.66,26.49
Athani,166264.0,158469.0,324733.0,24046.0,23796.0,47842.0,372575.0,15.12,16.38,15.34
Raibag,185784.0,177815.0,363599.0,21358.0,20532.0,41890.0,405489.0,16.6,17.1,16.65
Gokak,146795.0,145010.0,291805.0,53309.0,53278.0,106587.0,398392.0,19.14,11.97,17.13
Hukkeri,171560.0,170085.0,341645.0,28930.0,28695.0,57625.0,399270.0,12.1,9.91,11.78
Belagavi,159294.0,154217.0,313511.0,327410.0,316452.0,643862.0,957373.0,1.43,27.12,17.39
Khanapur,113404.0,110583.0,223987.0,17194.0,16908.0,34102.0,258089.0,1.65,49.31,6.13
Savadatti,114936.0,111215.0,226151.0,20592.0,20623.0,41215.0,267366.0,12.06,8.02,11.42
Bailhongal,121153.0,118533.0,239686.0,24528.0,24654.0,49182.0,288868.0,5.63,13.78,6.94
Ramadurg,113560.0,110167.0,223727.0,17350.0,17450.0,34800.0,258527.0,17.28,-5.05,13.68
Kitthuru,31911.0,30879.0,62790.0,14870.0,14661.0,29531.0,92321.0,6.5,7.05,6.68
Nippani,98696.0,95085.0,193781.0,39482.0,39393.0,78875.0,272656.0,-9.63,10.16,-4.68
Kagavada,50370.0,47892.0,98262.0,27899.0,27096.0,54995.0,153257.0,9.18,9.83,9.41
Mudalagi,92827.0,91816.0,184643.0,14695.0,14433.0,29128.0,213771.0,18.31,-2.56,14.95
Yaragatti,38428.0,37445.0,75873.0,4799.0,4891.0,9690.0,85563.0,19.34,19.84,15.27
Jamakhandi,98655.0,96378.0,195033.0,33936.0,35002.0,68938.0,263971.0,14.56,19.1,15.71
Bilagi,71342.0,71160.0,142502.0,8805.0,8987.0,17792.0,160294.0,12.61,15.13,12.89
Mudhol,98934.0,99060.0,197994.0,26065.0,26134.0,52199.0,250193.0,16.65,22.93,17.1
Badami,96403.0,94338.0,190741.0,25468.0,25206.0,50674.0,241415.0,13.43,17.67,14.3
Bagalkote,86842.0,86339.0,173181.0,56378.0,55555.0,111933.0,285114.0,10.81,23.02,15.3
Hungund,51113.0,50526.0,101639.0,26115.0,25455.0,51570.0,153209.0,-15.97,85.91,10.23
Guledagudda,28246.0,27817.0,56063.0,16631.0,16751.0,33382.0,89445.0,20.0,-1.79,10.82
Ilkal,48366.0,47552.0,95918.0,36147.0,36064.0,72211.0,168129.0,-0.26,39.08,13.53
RABAKAVI BANAHATTI,70366.0,68469.0,138835.0,70299.0,68848.0,139147.0,277982.0,18.55,11.57,14.95
Bijapur,72850.0,68380.0,141230.0,165177.0,162250.0,327427.0,468657.0,25.75,28.96,27.99
Indi,135075.0,125674.0,260749.0,19531.0,18686.0,38217.0,298966.0,18.68,16.39,18.38
Sindagi,59592.0,56132.0,115724.0,18880.0,18346.0,37226.0,152950.0,25.47,34.23,26.58
Basavan Bagewadi,61757.0,59755.0,121512.0,24362.0,23945.0,48307.0,169819.0,6.08,16.24,7.91
Muddebihal,73119.0,71996.0,145115.0,17188.0,17029.0,34217.0,179332.0,0.24,21.26,3.67
Nidagundi,36390.0,35457.0,71847.0,7721.0,7570.0,15291.0,87138.0,39.19,19.42,35.26
Babaleshwara,56216.0,55122.0,111338.0,6356.0,6134.0,12490.0,123828.0,16.86,11.72,16.42
Chadachana,54720.0,51139.0,105859.0,8337.0,8007.0,16344.0,122203.0,18.03,24.61,18.88
Talikote,50587.0,49872.0,100459.0,15940.0,15753.0,31693.0,132152.0,4.75,20.94,36.55
Tikota,59763.0,55496.0,115259.0,6817.0,6514.0,13331.0,128590.0,23.14,20.52,26.17
Kolhara,33043.0,31977.0,65020.0,8471.0,8097.0,16568.0,81588.0,21.26,38.82,24.46
Devara Hipparagi,50731.0,48549.0,99280.0,8467.0,8087.0,16554.0,115834.0,4.65,43.79,7.36
Alamela,50478.0,47129.0,97607.0,9454.0,9213.0,18667.0,116274.0,0.0,0.0,0.0
Aland,140007.0,131923.0,271930.0,21885.0,20486.0,42371.0,314301.0,14.5,20.22,15.2
Afzalpur,99165.0,94086.0,193251.0,13892.0,13196.0,27088.0,220339.0,20.3,40.1,22.4
Gulbarga,99219.0,95021.0,194240.0,276552.0,266595.0,543147.0,737387.0,16.82,26.24,22.9
Chincholi,94787.0,94159.0,188946.0,10852.0,10045.0,20897.0,209843.0,13.2,21.9,13.7
Sedam,85578.0,87181.0,172759.0,23020.0,22793.0,45813.0,218572.0,10.73,14.17,11.5
Chittapur,86992.0,86708.0,173700.0,34840.0,34447.0,69287.0,242987.0,14.72,1.78,10.2
Jevargi,77649.0,75765.0,153414.0,12976.0,12710.0,25686.0,179100.0,25.52,33.93,26.2
Kalagi,50114.0,50776.0,100890.0,4596.0,4548.0,9144.0,110034.0,10.09,0.96,11.0
Kamalapura,59778.0,57334.0,117112.0,5667.0,5404.0,11071.0,128183.0,11.71,1.11,12.82
Yadrami,54833.0,52372.0,107205.0,5437.0,5161.0,10598.0,117803.0,10.72,1.06,11.78
Shahbadha,13322.0,13193.0,26515.0,30594.0,30668.0,61262.0,87777.0,2.65,6.13,8.78
Basavakalyan,120550.0,116352.0,236902.0,36116.0,33601.0,69717.0,306619.0,13.5,15.68,14.02
Bhalki,120862.0,116155.0,237017.0,20741.0,19592.0,40333.0,277350.0,6.78,14.93,7.9
Aurad,78320.0,74878.0,153198.0,10058.0,9791.0,19849.0,173047.0,13.94,20.38,14.68
